序号,文件名称,文件编号,成文日期
1,国家税务总局关于办理2022年度个人所得税综合所得汇算清缴事项的公告,国家税务总局公告2023年第3号,2023/2/2
2,财政部 税务总局关于延续实施有关个人所得税优惠政策的公告,财政部 税务总局公告2023年第2号,2023/1/16
3,财政部 税务总局关于个人养老金有关个人所得税政策的公告,财政部 税务总局公告2022年第34号,2022/11/3
4,国家税务总局关于支持居民换购住房个人所得税政策有关征管事项的公告,国家税务总局公告2022年第21号,2022/9/30
5,财政部 税务总局关于支持居民换购住房有关个人所得税政策的公告,财政部 税务总局公告2022年第30号,2022/9/30
6,财政部 税务总局关于法律援助补贴有关税收政策的公告,财政部 税务总局公告2022年第25号,2022/8/5
7,卫生健康委等17部门关于进一步完善和落实积极生育支持措施的指导意见,国卫人口发〔2022〕26号,2022/7/25
8,财政部 税务总局 证监会关于交易型开放式基金纳入内地与香港股票市场交易互联互通机制后适用税收政策问题的公告,财政部 税务总局 证监会公告2022年第24号,2022/6/30
9,财政部 税务总局 银保监会关于进一步明确商业健康保险个人所得税优惠政策适用保险产品范围的通知,财税〔2022〕21号,2022/5/31
10,国家税务总局关于修订发布《个人所得税专项附加扣除操作办法（试行）》的公告,国家税务总局公告2022年第7号,2022/3/25
11,国务院关于设立3岁以下婴幼儿照护个人所得税专项附加扣除的通知,国发〔2022〕8号,2022/3/19
12,国家税务总局关于办理2021年度个人所得税综合所得汇算清缴事项的公告,国家税务总局公告2022年第1号,2022/2/8
13,财政部 税务总局关于延续实施外籍个人津补贴等有关个人所得税优惠政策的公告,财政部 税务总局公告2021年第43号,2021/12/31
14,财政部 税务总局关于延续实施全年一次性奖金等个人所得税优惠政策的公告,财政部 税务总局公告2021年第42号,2021/12/31
15,财政部 税务总局关于权益性投资经营所得个人所得税征收管理的公告,财政部 税务总局公告2021年第41号,2021/12/30
16,国家税务总局关于办理2020年度个人所得税综合所得汇算清缴事项的公告,国家税务总局公告2021年第2号,2021/2/8
17,国家税务总局关于进一步简便优化部分纳税人个人所得税预扣预缴方法的公告,国家税务总局公告2020年第19号,2020/12/4
18,国家税务总局关于完善调整部分纳税人个人所得税预扣预缴方法的公告,国家税务总局公告2020年第13号,2020/7/28
19,财政部 税务总局关于海南自由贸易港高端紧缺人才个人所得税政策的通知,财税〔2020〕32号,2020/6/23
20,2019年度个人所得税综合所得年度汇算办税指引,,2020/3/31
21,财政部 税务总局关于支持新型冠状病毒感染的肺炎疫情防控有关个人所得税政策的公告,财政部 税务总局公告2020年第10号,2020/2/6
22,财政部 税务总局关于境外所得有关个人所得税政策的公告,财政部 税务总局公告2020年第3号,2020/1/22
23,国家税务总局关于修订部分个人所得税申报表的公告,国家税务总局公告2019年第46号,2019/12/31
24,国家税务总局关于办理2019年度个人所得税综合所得汇算清缴事项的公告,国家税务总局公告2019年第44号,2019/12/31
