序号,文件名称,文件编号,成文日期
1,财政部 税务总局关于继续实施企业改制重组有关土地增值税政策的公告,财政部 税务总局公告2021年第21号,2021/5/31
2,国家税务总局关于修订土地增值税纳税申报表的通知,税总函〔2016〕309号,2016/7/7
3,财政部 海关总署 国家税务总局关于支持芦山地震灾后恢复重建有关税收政策问题的通知,财税〔2013〕58号,2013/9/30
4,财政部 国家税务总局关于中国邮政储蓄银行改制上市有关税收政策的通知,财税〔2013〕53号,2013/9/12
5,国家税务总局关于进一步做好土地增值税征管工作的通知,税总发〔2013〕67号,2013/6/20
6,财政部 国家税务总局关于中国邮政集团公司邮政速递物流业务重组改制有关税收问题的通知,财税〔2011〕116号,2011/12/8
7,财政部 国家税务总局关于中国联合网络通信集团有限公司转让CDMA网及其用户资产企业合并资产整合过程中涉及的增值税营业税 印花税和土地增值税政策问题的通知,财税〔2011〕13号,2011/3/10
8,财政部 海关总署 国家税务总局关于支持舟曲灾后恢复重建有关税收政策问题的通知,财税〔2010〕107号,2010/12/29
9,财政部 国家税务总局关于支持公共租赁住房建设和运营有关税收优惠政策的通知,财税〔2010〕88号,2010/9/27
10,国家税务总局关于加强土地增值税征管工作的通知,国税发〔2010〕53号,2010/5/25
11,国家税务总局关于土地增值税清算有关问题的通知,国税函〔2010〕220号,2010/5/19
12,财政部 国家税务总局关于城市和国有工矿棚户区改造项目有关税收优惠政策的通知,财税〔2010〕42号,2010/5/4
13,财政部 国家税务总局关于发布部分到期停止执行税收规范性文件的通知,财税〔2009〕138号,2009/12/7
14,财政部 国家税务总局关于股改及合资铁路运输企业房产税 城镇土地使用税有关政策的通知,财税〔2009〕132号,2009/11/25
15,财政部 海关总署 国家税务总局关于第16届亚洲运动会等三项国际综合运动会税收政策的通知,财税〔2009〕94号,2009/8/10
16,国家税务总局关于印发《土地增值税清算管理规程》的通知,国税发〔2009〕91号,2009/5/12
17,财政部 国家税务总局关于调整房地产交易环节税收政策的通知,财税〔2008〕137号,2008/10/22
18,财政部 海关总署 国家税务总局关于支持汶川地震灾后恢复重建有关税收政策问题的通知,财税〔2008〕104号,2008/8/1
19,财政部 国家税务总局 关于廉租住房经济适用住房和住房租赁有关税收政策的通知,财税〔2008〕24号,2008/3/3
20,国家税务总局 财政部 国土资源部关于进一步加强土地税收管理工作的通知,国税发〔2008〕14号,2008/1/23
21,国家税务总局关于未办理土地使用权证转让土地有关税收问题的批复,国税函〔2007〕645号,2007/6/14
22,国家税务总局关于房地产开发企业土地增值税清算管理有关问题的通知,国税发〔2006〕187号,2006/12/28
23,财政部 国家税务总局关于土地增值税普通标准住宅有关政策的通知,财税〔2006〕141号,2006/10/20
24,财政部 国家税务总局关于大秦铁路改制上市有关税收问题的通知,财税〔2006〕32号,2006/5/14
25,财政部 国家税务总局关于土地增值税若干问题的通知,财税〔2006〕21号,2006/3/2
26,财政部 国家税务总局关于中国建银投资有限责任公司有关税收政策问题的通知,财税〔2005〕160号,2005/11/20
27,国家税务总局 财政部 国土资源部关于加强土地税收管理的通知,国税发〔2005〕111号,2005/7/1
28,国家税务总局关于加强土地增值税管理工作的通知,国税函〔2004〕938号,2004/8/2
29,财政部 国家税务总局关于中国东方资产管理公司处置港澳国际（集团）有限公司有关资产税收政策问题的通知,财税〔2003〕212号,2003/11/10
30,财政部 国家税务总局关于被撤销金融机构有关税收政策问题的通知,财税〔2003〕141号,2003/7/3
31,财政部 国家税务总局关于大连证券破产及财产处置过程中有关税收政策问题的通知,财税〔2003〕88号,2003/5/20
32,国家税务总局关于认真做好土地增值税征收管理工作的通知,国税函〔2002〕615号,2002/7/10
33,财政部 国家税务总局关于中国信达等4家金融资产管理公司税收政策问题的通知,财税〔2001〕10号,2001/2/20
34,国家税务总局关于以转让股权名义转让房地产行为征收土地增值税问题的批复,国税函〔2000〕687号,2000/9/5
35,财政部 国家税务总局关于土地增值税优惠政策延期的通知,财税字〔1999〕293号,1999/12/24
36,财政部 国家税务总局关于调整房地产市场若干税收政策的通知,财税字〔1999〕210号,1999/7/29
37,国家税务总局关于广西土地增值税计算问题请示的批复,国税函〔1999〕112号,1999/3/5
38,国家税务总局 国家土地管理局关于土地增值税若干征管问题的通知,国税发〔1996〕4号,1996/1/10
39,财政部 国家税务总局 国家国有资产管理局关于转让国有房地产征收土地增值税中有关房地产价格评估问题的通知,财税字〔1995〕61号,1995/6/23
40,财政部 国家税务总局关于土地增值税一些具体问题规定的通知,财税字〔1995〕48号,1995/5/25
41,国家税务总局关于印发《土地增值税宣传提纲》的通知,国税函发〔1995〕110号,1995/3/16
42,中华人民共和国土地增值税暂行条例实施细则,财法字〔1995〕6号,1995/1/27
43,国务院关于外商投资企业和外国企业适用增值税、消费税、营业税等税收暂行条例有关问题的通知,国发〔1994〕10号,1994/2/22
