序号,文件名称,文件编号,成文日期
1,国家税务总局关于增值税小规模纳税人减免增值税等政策有关征管事项的公告,国家税务总局公告2023年第1号,2023/1/9
2,财政部 税务总局关于明确增值税小规模纳税人减免增值税等政策的公告,财政部 税务总局公告2023年第1号,2023/1/9
3,财政部 税务总局关于民用飞机增值税适用政策的公告,财政部 税务总局公告2022年第38号,2022/12/30
4,关于发布第三批适用增值税政策的抗癌药品和罕见病药品清单的公告,财政部 海关总署 税务总局 药监局公告2022年第35号,2022/11/21
5,财政部 税务总局关于银行业金融机构、金融资产管理公司不良债权以物抵债有关税收政策的公告,财政部 税务总局公告2022年第31号,2022/9/30
6,国家税务总局关于延长2022年7月份增值税留抵退税申请时间的公告,国家税务总局公告2022年第15号,2022/7/8
7,财政部 税务总局关于切实落实燃煤发电企业增值税留抵退税政策 做好电力保供工作的通知,财税〔2022〕25号,2022/6/24
8,国家税务总局关于扩大全额退还增值税留抵税额政策行业范围有关征管事项的公告,国家税务总局公告2022年第11号,2022/6/7
9,财政部 税务总局关于扩大全额退还增值税留抵税额政策行业范围的公告,财政部 税务总局公告2022年第21号,2022/6/7
10,财政部 税务总局关于进一步持续加快增值税期末留抵退税政策实施进度的公告,财政部 税务总局公告2022年第19号,2022/5/18
11,财政部 税务总局关于快递收派服务免征增值税政策的公告,财政部 税务总局公告2022年第18号,2022/4/29
12,财政部 税务总局关于进一步加快增值税期末留抵退税政策实施进度的公告,财政部 税务总局公告2022年第17号,2022/4/17
13,国家税务总局关于小规模纳税人免征增值税等征收管理事项的公告,国家税务总局公告2022年第6号,2022/3/24
14,财政部 税务总局关于对增值税小规模纳税人免征增值税的公告,财政部 税务总局公告2022年第15号,2022/3/24
15,国家税务总局关于进一步加大增值税期末留抵退税政策实施力度有关征管事项的公告,国家税务总局公告2022年第4号,2022/3/22
16,财政部 税务总局关于进一步加大增值税期末留抵退税政策实施力度的公告,财政部 税务总局公告2022年第14号,2022/3/21
17,财政部 税务总局关于促进服务业领域困难行业纾困发展有关增值税政策的公告,财政部 税务总局公告2022年第11号,2022/3/3
